ID,Phase,Priority,Task,Completion criteria,Status,Notes
SETUP-01,Before translating,Must,Fix the private-reference ignore rule,references/private/ is ignored and no private papers appear in git status,Completed,Private PDFs remain local and are not added to Git
SETUP-02,Before translating,Must,Choose how the legacy MATLAB source will be preserved,A fresh clone can obtain the exact MATLAB source snapshot without guesswork,Completed,Permitted legacy .m files are tracked; the upstream commit is pinned in the baseline documentation
SETUP-03,Before translating,Must,Select the initial MATLAB baseline,"One state-space file, call chain, and parameter set are named as the baseline",Completed,Frozen as matlab-port-baseline-v1 with a named call chain and parameters
SETUP-04,Before translating,Must,Run one small MATLAB case,The example or a reduced case runs successfully from legacy_matlab/,Completed,The Allan Hills MATLAB runner completed successfully
SETUP-05,Before translating,Must,Record baseline provenance,"MATLAB version, selected function versions, inputs, and representative output values are recorded",Completed,"Fixture metadata records MATLAB version, git state, hashes, inputs, and outputs"
SETUP-06,Before translating,Must,Export one detailed MATLAB trajectory,A full T0=10 C to Tc=-30 C trajectory includes useful intermediate arrays,Completed,A frozen 401-step 10 C to -30 C trajectory is checked in
SETUP-07,Before translating,Must,Export a helper-physics reference table,"Selected temperatures include saturation, cloud phase, fractionation, and supersaturation outputs",Completed,Helper calculations at selected temperatures have unit and MATLAB parity coverage
SETUP-08,Before translating,Must,Use Python 3.11 or newer consistently,The active environment satisfies pyproject.toml and python --version reports 3.11+,Completed,The mioplio environment uses Python 3.11 and pyproject requires Python 3.11 or newer
SETUP-09,Before translating,Must,Install the package and development tools,"Editable install succeeds and pytest, Ruff, and mypy are available",Completed,"The editable package, pytest, Ruff, and mypy are installed and verified"
SETUP-10,Before translating,Must,Create the minimal Python package and test folders,import swim works and pytest completes successfully,Completed,"The swim package and unit, integration, and parity test folders are in place"
SETUP-11,Before translating,Recommended,Add a short model overview,docs/science/model_overview.md describes the forward model in a page or less,Completed,Added docs/science/model_overview.md
SETUP-12,Before translating,Recommended,Add a short execution-flow document,docs/legacy/execution_flow.md records the selected baseline call sequence,Completed,Added docs/legacy/execution_flow.md
SETUP-13,Before translating,Recommended,Replace the AGENTS.md setup placeholders,"Exact environment, test, lint, type-check, MATLAB, fixture, and tolerance instructions are listed",Completed,"AGENTS.md lists exact commands, fixture locations, and the tolerance policy"
PORT-01,Translation,Next,Port isotope conversions and excess calculations,Python outputs match MATLAB fixtures at the selected tolerance,Completed,Implemented in swim.isotopes with unit and MATLAB parity tests
PORT-02,Translation,Next,Port saturation vapor pressure,Liquid and ice results match the helper fixture,Completed,Implemented in swim.saturation with unit and MATLAB parity tests
PORT-03,Translation,Next,Port liquid and ice cloud partitioning,The full fraction curve matches MATLAB,Completed,Implemented in swim.cloud_phase; the complete adj fraction curve matches MATLAB
PORT-04,Translation,Next,Port equilibrium fractionation factors,All selected isotope and phase factors match MATLAB,Completed,Implemented in swim.fractionation with the differing legacy exponents kept explicit
PORT-05,Translation,Next,Port supersaturation,Outputs match the helper fixture for the baseline parameters,Completed,"Implemented with configurable a, b, and c and baseline parity coverage"
PORT-06,Translation,Next,Port the pseudo-adiabatic trajectory,"T, P, e_s, r_s, f, and supersaturation arrays match MATLAB",Completed,The complete 401-step pseudo-adiabatic trajectory matches the frozen MATLAB fixture
PORT-07,Translation,Next,Port source climatology,"SST, RH, and normalized RH match exported MATLAB values",Completed,Implemented in swim.source with the legacy Kelvin-sign behavior preserved and documented
PORT-08,Translation,Next,Port evaporation,Initial vapor isotope outputs match local-closure fixtures,Completed,Local closure matches the baseline and global closure remains selectable
PORT-09,Translation,Next,Port distillation,Full vapor and precipitation isotope trajectories match MATLAB,Completed,The complete vapor and precipitation isotope trajectories match MATLAB
PORT-10,Translation,Next,Port a small state-space wrapper,A small source-by-site grid matches MATLAB values and orientation,Completed,The complete 29 by 71 state space matches MATLAB in values and orientation
PORT-11,Translation,Next,Port inverse reconstruction,Interior interpolation cases match MATLAB closely enough for the documented tolerance,Completed,"Natural-neighbor inversion matches all 2,326 frozen Allan Hills rows"
LATER-01,Later work,Later,Reproduce the full publication reconstruction,The selected publication workflow runs with documented input data,Deferred,The core model is complete; publication inputs and exact publication state-space provenance are still missing
LATER-02,Later work,Later,Port uncertainty ensembles,Uncertainty outputs have their own reference cases,Deferred,Base inversion parity is complete; uncertainty reference cases still need to be generated
LATER-03,Later work,Later,Catalog every historical MATLAB variant,"Older versions are named, described, and selectable where useful",Deferred,Active frozen versions are mapped; an exhaustive older-variant catalog remains deferred
LATER-04,Later work,Later,Add continuous integration,Automated checks run in the repository host,Deferred,"Local test, lint, and type checks are configured; hosted continuous integration is not"
LATER-05,Later work,Later,Optimize performance and architecture,Changes retain established parity and improve a measured need,Deferred,Baseline parity is established; optimize only in response to a measured need
LATER-06,Later work,Later,Begin Pliocene and Miocene extensions,Scientific changes are separated from the legacy-compatible model,Deferred,The core baseline is complete; define the Pliocene and Miocene application before extending it
